N = 51;
K = 25;
capacity = [1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000];
nodeInfo = [
<0,0.0,1000.0,0>
<10,0.0,974.0,10>
<7,0.0,972.0,10>
<13,0.0,967.0,10>
<16,400.0,497.0,0>
<16,577.0,632.0,10>
<12,206.0,325.0,10>
<8,175.0,300.0,10>
<12,0.0,974.0,10>
<17,0.0,957.0,10>
<9,0.0,958.0,10>
<29,206.0,325.0,10>
<6,817.0,956.0,10>
<16,104.0,255.0,10>
<21,259.0,354.0,10>
<27,0.0,972.0,10>
<11,45.0,200.0,10>
<5,41.0,208.0,10>
<16,302.0,405.0,10>
<9,360.0,437.0,10>
<5,25.0,172.0,10>
<7,0.0,955.0,10>
<1,0.0,954.0,10>
<27,0.0,955.0,10>
<36,0.0,962.0,10>
<13,0.0,973.0,10>
<10,0.0,963.0,10>
<9,0.0,978.0,10>
<18,0.0,967.0,10>
<6,585.0,692.0,10>
<7,0.0,966.0,10>
<3,0.0,971.0,10>
<13,0.0,964.0,10>
<19,163.0,302.0,10>
<10,0.0,955.0,10>
<20,49.0,188.0,10>
<25,592.0,693.0,10>
<6,162.0,293.0,10>
<25,0.0,967.0,10>
<9,0.0,969.0,10>
<23,388.0,465.0,10>
<7,436.0,511.0,10>
<41,0.0,966.0,10>
<35,0.0,954.0,10>
<26,420.0,447.0,10>
<9,279.0,388.0,10>
<15,0.0,981.0,10>
<2,18.0,181.0,0>
<27,0.0,977.0,10>
<20,0.0,975.0,10>
<11,0.0,974.0,10>
<9,333.0,432.0,10>
<-10,415.0,514.0,10>
<-7,849.0,980.0,10>
<-13,637.0,752.0,10>
<-16,400.0,497.0,10>
<-16,0.0,956.0,10>
<-12,690.0,827.0,10>
<-8,294.0,401.0,10>
<-12,0.0,968.0,10>
<-17,0.0,957.0,10>
<-9,0.0,968.0,10>
<-29,414.0,489.0,10>
<-6,0.0,960.0,10>
<-16,0.0,968.0,10>
<-21,0.0,975.0,10>
<-27,686.0,813.0,10>
<-11,0.0,950.0,10>
<-5,0.0,978.0,10>
<-16,0.0,969.0,10>
<-9,396.0,511.0,10>
<-5,0.0,983.0,10>
<-7,409.0,494.0,10>
<-1,0.0,953.0,10>
<-27,811.0,969.0,10>
<-36,733.0,870.0,10>
<-13,0.0,962.0,10>
<-10,501.0,540.0,10>
<-9,214.0,333.0,10>
<-18,839.0,968.0,10>
<-6,681.0,802.0,10>
<-7,817.0,952.0,10>
<-3,29.0,189.0,10>
<-13,0.0,972.0,10>
<-19,0.0,960.0,10>
<-10,0.0,966.0,10>
<-20,0.0,957.0,10>
<-25,0.0,968.0,10>
<-6,0.0,972.0,10>
<-25,0.0,971.0,10>
<-9,620.0,739.0,10>
<-23,384.0,499.0,10>
<-7,404.0,481.0,10>
<-41,233.0,340.0,10>
<-35,788.0,968.0,10>
<-26,678.0,801.0,10>
<-9,290.0,373.0,10>
<-15,0.0,964.0,10>
<-2,18.0,181.0,10>
<-27,0.0,962.0,10>
<-20,33.0,224.0,10>
<-11,0.0,960.0,10>
<-9,798.0,965.0,10>
<0,0.0,1000.0,0>
];
X = [35,41,35,55,55,30,20,30,20,15,45,55,65,35,40,31,53,2,5,40,24,23,2,8,13,47,49,27,57,53,32,17,12,24,27,62,49,37,47,44,57,11,16,4,28,26,26,22,26,25,22,20,25,36,56,55,35,30,67,14,31,19,37,65,20,50,63,57,45,15,42,41,45,65,18,5,55,6,15,56,46,53,6,25,64,15,15,20,21,45,63,61,10,11,37,55,49,15,22,49,60,10,18,35];
Y = [35,49,17,45,60,60,65,5,40,60,65,5,20,40,60,52,52,60,5,25,12,3,48,56,52,47,58,43,29,12,12,34,24,58,69,77,73,47,16,17,48,31,22,18,18,52,35,22,27,24,27,26,30,26,39,60,69,25,5,37,67,21,31,35,20,35,65,68,30,30,7,37,10,55,24,30,54,68,77,37,13,43,38,21,42,47,10,50,24,20,23,52,43,14,56,20,42,19,22,11,12,20,18,35];
membership = [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];
alpha = 1.0;
beta = 1.0;
